step,step_timestamp,timestamp_ms,time_utc
0,1771777732891,1771777732891,2026-02-22 16:28:52.891000+00:00
0,1771777871088,1771777871088,2026-02-22 16:31:11.088000+00:00
0,1771777871996,1771777871996,2026-02-22 16:31:11.996000+00:00
1,1771778010316,1771778010316,2026-02-22 16:33:30.316000+00:00
1,1771778010487,1771778010487,2026-02-22 16:33:30.487000+00:00
2,1771778146568,1771778146568,2026-02-22 16:35:46.568000+00:00
2,1771778146739,1771778146739,2026-02-22 16:35:46.739000+00:00
3,1771778283695,1771778283695,2026-02-22 16:38:03.695000+00:00
3,1771778283866,1771778283866,2026-02-22 16:38:03.866000+00:00
4,1771778419530,1771778419530,2026-02-22 16:40:19.530000+00:00
4,1771778419701,1771778419701,2026-02-22 16:40:19.701000+00:00
5,1771778554586,1771778554586,2026-02-22 16:42:34.586000+00:00
5,1771778554757,1771778554757,2026-02-22 16:42:34.757000+00:00
6,1771778691129,1771778691129,2026-02-22 16:44:51.129000+00:00
6,1771778691300,1771778691300,2026-02-22 16:44:51.300000+00:00
7,1771778827729,1771778827729,2026-02-22 16:47:07.729000+00:00
7,1771778827898,1771778827898,2026-02-22 16:47:07.898000+00:00
8,1771778964534,1771778964534,2026-02-22 16:49:24.534000+00:00
8,1771778964704,1771778964704,2026-02-22 16:49:24.704000+00:00
9,1771779101976,1771779101976,2026-02-22 16:51:41.976000+00:00
9,1771779102146,1771779102146,2026-02-22 16:51:42.146000+00:00
10,1771779237749,1771779237749,2026-02-22 16:53:57.749000+00:00
10,1771779237918,1771779237918,2026-02-22 16:53:57.918000+00:00
11,1771779373706,1771779373706,2026-02-22 16:56:13.706000+00:00
11,1771779373876,1771779373876,2026-02-22 16:56:13.876000+00:00
12,1771779510062,1771779510062,2026-02-22 16:58:30.062000+00:00
12,1771779510232,1771779510232,2026-02-22 16:58:30.232000+00:00
13,1771779647457,1771779647457,2026-02-22 17:00:47.457000+00:00
13,1771779647625,1771779647625,2026-02-22 17:00:47.625000+00:00
14,1771779784219,1771779784219,2026-02-22 17:03:04.219000+00:00
14,1771779784390,1771779784390,2026-02-22 17:03:04.390000+00:00
15,1771779922912,1771779922912,2026-02-22 17:05:22.912000+00:00
15,1771779923082,1771779923082,2026-02-22 17:05:23.082000+00:00
16,1771780059371,1771780059371,2026-02-22 17:07:39.371000+00:00
16,1771780059541,1771780059541,2026-02-22 17:07:39.541000+00:00
17,1771780196498,1771780196498,2026-02-22 17:09:56.498000+00:00
17,1771780196669,1771780196669,2026-02-22 17:09:56.669000+00:00
18,1771780333416,1771780333416,2026-02-22 17:12:13.416000+00:00
