step,step_timestamp,timestamp_ms,time_utc
0,1771341532318,1771341532318,2026-02-17 15:18:52.318000+00:00
10,1771341621313,1771341621313,2026-02-17 15:20:21.313000+00:00
20,1771341708656,1771341708656,2026-02-17 15:21:48.656000+00:00
30,1771341795163,1771341795163,2026-02-17 15:23:15.163000+00:00
40,1771341881871,1771341881871,2026-02-17 15:24:41.871000+00:00
50,1771341969551,1771341969551,2026-02-17 15:26:09.551000+00:00
60,1771342056073,1771342056073,2026-02-17 15:27:36.073000+00:00
70,1771342142773,1771342142773,2026-02-17 15:29:02.773000+00:00
80,1771342229737,1771342229737,2026-02-17 15:30:29.737000+00:00
90,1771342317242,1771342317242,2026-02-17 15:31:57.242000+00:00
100,1771342403941,1771342403941,2026-02-17 15:33:23.941000+00:00
110,1771342490439,1771342490439,2026-02-17 15:34:50.439000+00:00
120,1771342577792,1771342577792,2026-02-17 15:36:17.792000+00:00
130,1771342664503,1771342664503,2026-02-17 15:37:44.503000+00:00
140,1771342751137,1771342751137,2026-02-17 15:39:11.137000+00:00
150,1771342838825,1771342838825,2026-02-17 15:40:38.825000+00:00
150,1771342882501,1771342882501,2026-02-17 15:41:22.501000+00:00
160,1771342969010,1771342969010,2026-02-17 15:42:49.010000+00:00
170,1771343056012,1771343056012,2026-02-17 15:44:16.012000+00:00
180,1771343142647,1771343142647,2026-02-17 15:45:42.647000+00:00
190,1771343229204,1771343229204,2026-02-17 15:47:09.204000+00:00
200,1771343316108,1771343316108,2026-02-17 15:48:36.108000+00:00
210,1771343402656,1771343402656,2026-02-17 15:50:02.656000+00:00
220,1771343489974,1771343489974,2026-02-17 15:51:29.974000+00:00
230,1771343576903,1771343576903,2026-02-17 15:52:56.903000+00:00
240,1771343663497,1771343663497,2026-02-17 15:54:23.497000+00:00
250,1771343750582,1771343750582,2026-02-17 15:55:50.582000+00:00
260,1771343837518,1771343837518,2026-02-17 15:57:17.518000+00:00
270,1771343924479,1771343924479,2026-02-17 15:58:44.479000+00:00
280,1771344011430,1771344011430,2026-02-17 16:00:11.430000+00:00
290,1771344097951,1771344097951,2026-02-17 16:01:37.951000+00:00
300,1771344185690,1771344185690,2026-02-17 16:03:05.690000+00:00
300,1771344229438,1771344229438,2026-02-17 16:03:49.438000+00:00
310,1771344316218,1771344316218,2026-02-17 16:05:16.218000+00:00
320,1771344402965,1771344402965,2026-02-17 16:06:42.965000+00:00
330,1771344490429,1771344490429,2026-02-17 16:08:10.429000+00:00
340,1771344576946,1771344576946,2026-02-17 16:09:36.946000+00:00
350,1771344664250,1771344664250,2026-02-17 16:11:04.250000+00:00
360,1771344751192,1771344751192,2026-02-17 16:12:31.192000+00:00
370,1771344837691,1771344837691,2026-02-17 16:13:57.691000+00:00
380,1771344924604,1771344924604,2026-02-17 16:15:24.604000+00:00
390,1771345011471,1771345011471,2026-02-17 16:16:51.471000+00:00
400,1771345098850,1771345098850,2026-02-17 16:18:18.850000+00:00
410,1771345186159,1771345186159,2026-02-17 16:19:46.159000+00:00
420,1771345272742,1771345272742,2026-02-17 16:21:12.742000+00:00
430,1771345360208,1771345360208,2026-02-17 16:22:40.208000+00:00
440,1771345446767,1771345446767,2026-02-17 16:24:06.767000+00:00
450,1771345533642,1771345533642,2026-02-17 16:25:33.642000+00:00
450,1771345577318,1771345577318,2026-02-17 16:26:17.318000+00:00
460,1771345664109,1771345664109,2026-02-17 16:27:44.109000+00:00
470,1771345750650,1771345750650,2026-02-17 16:29:10.650000+00:00
480,1771345837868,1771345837868,2026-02-17 16:30:37.868000+00:00
490,1771345925178,1771345925178,2026-02-17 16:32:05.178000+00:00
500,1771346011803,1771346011803,2026-02-17 16:33:31.803000+00:00
510,1771346098930,1771346098930,2026-02-17 16:34:58.930000+00:00
520,1771346185481,1771346185481,2026-02-17 16:36:25.481000+00:00
530,1771346272387,1771346272387,2026-02-17 16:37:52.387000+00:00
540,1771346359318,1771346359318,2026-02-17 16:39:19.318000+00:00
550,1771346445875,1771346445875,2026-02-17 16:40:45.875000+00:00
560,1771346533077,1771346533077,2026-02-17 16:42:13.077000+00:00
570,1771346619798,1771346619798,2026-02-17 16:43:39.798000+00:00
580,1771346706767,1771346706767,2026-02-17 16:45:06.767000+00:00
590,1771346794230,1771346794230,2026-02-17 16:46:34.230000+00:00
600,1771346880807,1771346880807,2026-02-17 16:48:00.807000+00:00
600,1771346924329,1771346924329,2026-02-17 16:48:44.329000+00:00
610,1771347011376,1771347011376,2026-02-17 16:50:11.376000+00:00
620,1771347098631,1771347098631,2026-02-17 16:51:38.631000+00:00
