total_training_flops,total_training_flops_timestamp,timestamp_ms,time_utc
0.0,1771341532319,1771341532319,2026-02-17 15:18:52.319000+00:00
1.9715864936841216e+16,1771341621313,1771341621313,2026-02-17 15:20:21.313000+00:00
4.162238153333146e+16,1771341708657,1771341708657,2026-02-17 15:21:48.657000+00:00
6.35288981298217e+16,1771341795163,1771341795163,2026-02-17 15:23:15.163000+00:00
8.543541472631194e+16,1771341881872,1771341881872,2026-02-17 15:24:41.872000+00:00
1.0734193132280218e+17,1771341969551,1771341969551,2026-02-17 15:26:09.551000+00:00
1.2924844791929242e+17,1771342056074,1771342056074,2026-02-17 15:27:36.074000+00:00
1.5115496451578266e+17,1771342142773,1771342142773,2026-02-17 15:29:02.773000+00:00
1.730614811122729e+17,1771342229738,1771342229738,2026-02-17 15:30:29.738000+00:00
1.9496799770876314e+17,1771342317243,1771342317243,2026-02-17 15:31:57.243000+00:00
2.1687451430525338e+17,1771342403943,1771342403943,2026-02-17 15:33:23.943000+00:00
2.387810309017436e+17,1771342490439,1771342490439,2026-02-17 15:34:50.439000+00:00
2.6068754749823386e+17,1771342577792,1771342577792,2026-02-17 15:36:17.792000+00:00
2.825940640947241e+17,1771342664504,1771342664504,2026-02-17 15:37:44.504000+00:00
3.0450058069121434e+17,1771342751137,1771342751137,2026-02-17 15:39:11.137000+00:00
3.264070972877046e+17,1771342838826,1771342838826,2026-02-17 15:40:38.826000+00:00
3.285977489473536e+17,1771342882503,1771342882503,2026-02-17 15:41:22.503000+00:00
3.483136138841948e+17,1771342969010,1771342969010,2026-02-17 15:42:49.010000+00:00
3.7022013048068506e+17,1771343056012,1771343056012,2026-02-17 15:44:16.012000+00:00
3.921266470771753e+17,1771343142648,1771343142648,2026-02-17 15:45:42.648000+00:00
4.1403316367366554e+17,1771343229204,1771343229204,2026-02-17 15:47:09.204000+00:00
4.359396802701558e+17,1771343316109,1771343316109,2026-02-17 15:48:36.109000+00:00
4.57846196866646e+17,1771343402657,1771343402657,2026-02-17 15:50:02.657000+00:00
4.7975271346313626e+17,1771343489975,1771343489975,2026-02-17 15:51:29.975000+00:00
5.016592300596265e+17,1771343576905,1771343576905,2026-02-17 15:52:56.905000+00:00
5.2356574665611674e+17,1771343663498,1771343663498,2026-02-17 15:54:23.498000+00:00
5.45472263252607e+17,1771343750583,1771343750583,2026-02-17 15:55:50.583000+00:00
