train/tok_per_sec,train/tok_per_sec_timestamp,timestamp_ms,time_utc
60620,1771341621316,1771341621316,2026-02-17 15:20:21.316000+00:00
60680,1771341708658,1771341708658,2026-02-17 15:21:48.658000+00:00
60650,1771341795165,1771341795165,2026-02-17 15:23:15.165000+00:00
60686,1771341881874,1771341881874,2026-02-17 15:24:41.874000+00:00
60653,1771341969553,1771341969553,2026-02-17 15:26:09.553000+00:00
60629,1771342056075,1771342056075,2026-02-17 15:27:36.075000+00:00
60663,1771342142775,1771342142775,2026-02-17 15:29:02.775000+00:00
57878,1771342229739,1771342229739,2026-02-17 15:30:29.739000+00:00
60441,1771342317244,1771342317244,2026-02-17 15:31:57.244000+00:00
60578,1771342403944,1771342403944,2026-02-17 15:33:23.944000+00:00
60613,1771342490440,1771342490440,2026-02-17 15:34:50.440000+00:00
60617,1771342577794,1771342577794,2026-02-17 15:36:17.794000+00:00
59485,1771342664505,1771342664505,2026-02-17 15:37:44.505000+00:00
60540,1771342751138,1771342751138,2026-02-17 15:39:11.138000+00:00
60570,1771342838828,1771342838828,2026-02-17 15:40:38.828000+00:00
60641,1771342969011,1771342969011,2026-02-17 15:42:49.011000+00:00
60657,1771343056013,1771343056013,2026-02-17 15:44:16.013000+00:00
60613,1771343142649,1771343142649,2026-02-17 15:45:42.649000+00:00
60561,1771343229206,1771343229206,2026-02-17 15:47:09.206000+00:00
60420,1771343316110,1771343316110,2026-02-17 15:48:36.110000+00:00
60559,1771343402659,1771343402659,2026-02-17 15:50:02.659000+00:00
60598,1771343489977,1771343489977,2026-02-17 15:51:29.977000+00:00
60609,1771343576906,1771343576906,2026-02-17 15:52:56.906000+00:00
60634,1771343663499,1771343663499,2026-02-17 15:54:23.499000+00:00
60677,1771343750584,1771343750584,2026-02-17 15:55:50.584000+00:00
58109,1771343837520,1771343837520,2026-02-17 15:57:17.520000+00:00
60682,1771343924481,1771343924481,2026-02-17 15:58:44.481000+00:00
60647,1771344011433,1771344011433,2026-02-17 16:00:11.433000+00:00
60647,1771344097953,1771344097953,2026-02-17 16:01:37.953000+00:00
60680,1771344185692,1771344185692,2026-02-17 16:03:05.692000+00:00
59497,1771344316221,1771344316221,2026-02-17 16:05:16.221000+00:00
