step,step_timestamp,timestamp_ms,time_utc
0,1770799653400,1770799653400,2026-02-11 08:47:33.400000+00:00
0,1770799672004,1770799672004,2026-02-11 08:47:52.004000+00:00
100,1770801414587,1770801414587,2026-02-11 09:16:54.587000+00:00
200,1770803156198,1770803156198,2026-02-11 09:45:56.198000+00:00
250,1770804099080,1770804099080,2026-02-11 10:01:39.080000+00:00
300,1770804987235,1770804987235,2026-02-11 10:16:27.235000+00:00
400,1770806728864,1770806728864,2026-02-11 10:45:28.864000+00:00
500,1770808542468,1770808542468,2026-02-11 11:15:42.468000+00:00
500,1770808559889,1770808559889,2026-02-11 11:15:59.889000+00:00
600,1770810301535,1770810301535,2026-02-11 11:45:01.535000+00:00
700,1770812043101,1770812043101,2026-02-11 12:14:03.101000+00:00
750,1770812985641,1770812985641,2026-02-11 12:29:45.641000+00:00
800,1770813873662,1770813873662,2026-02-11 12:44:33.662000+00:00
900,1770815615235,1770815615235,2026-02-11 13:13:35.235000+00:00
1000,1770817428867,1770817428867,2026-02-11 13:43:48.867000+00:00
1000,1770817446327,1770817446327,2026-02-11 13:44:06.327000+00:00
1100,1770819187868,1770819187868,2026-02-11 14:13:07.868000+00:00
1200,1770820929320,1770820929320,2026-02-11 14:42:09.320000+00:00
1250,1770821871944,1770821871944,2026-02-11 14:57:51.944000+00:00
1300,1770822760114,1770822760114,2026-02-11 15:12:40.114000+00:00
1400,1770824501567,1770824501567,2026-02-11 15:41:41.567000+00:00
1500,1770826314603,1770826314603,2026-02-11 16:11:54.603000+00:00
1500,1770826332041,1770826332041,2026-02-11 16:12:12.041000+00:00
1600,1770828073234,1770828073234,2026-02-11 16:41:13.234000+00:00
1700,1770829814563,1770829814563,2026-02-11 17:10:14.563000+00:00
1750,1770830757296,1770830757296,2026-02-11 17:25:57.296000+00:00
1800,1770831645373,1770831645373,2026-02-11 17:40:45.373000+00:00
1900,1770833386761,1770833386761,2026-02-11 18:09:46.761000+00:00
2000,1770835200041,1770835200041,2026-02-11 18:40:00.041000+00:00
2000,1770835510726,1770835510726,2026-02-11 18:45:10.726000+00:00
2000,1770835542319,1770835542319,2026-02-11 18:45:42.319000+00:00
2100,1770837283636,1770837283636,2026-02-11 19:14:43.636000+00:00
2200,1770839025087,1770839025087,2026-02-11 19:43:45.087000+00:00
2250,1770839967624,1770839967624,2026-02-11 19:59:27.624000+00:00
2300,1770840855609,1770840855609,2026-02-11 20:14:15.609000+00:00
2400,1770842597059,1770842597059,2026-02-11 20:43:17.059000+00:00
2500,1770844410129,1770844410129,2026-02-11 21:13:30.129000+00:00
2500,1770844427543,1770844427543,2026-02-11 21:13:47.543000+00:00
2600,1770846168873,1770846168873,2026-02-11 21:42:48.873000+00:00
2700,1770847910216,1770847910216,2026-02-11 22:11:50.216000+00:00
