train/tok_per_sec,train/tok_per_sec_timestamp,timestamp_ms,time_utc
56394,1770799672010,1770799672010,2026-02-11 08:47:52.010000+00:00
60159,1770801414589,1770801414589,2026-02-11 09:16:54.589000+00:00
60164,1770803156200,1770803156200,2026-02-11 09:45:56.200000+00:00
60143,1770804987238,1770804987238,2026-02-11 10:16:27.238000+00:00
60132,1770806728866,1770806728866,2026-02-11 10:45:28.866000+00:00
60212,1770808559891,1770808559891,2026-02-11 11:15:59.891000+00:00
60225,1770810301538,1770810301538,2026-02-11 11:45:01.538000+00:00
60182,1770812043103,1770812043103,2026-02-11 12:14:03.103000+00:00
60191,1770813873664,1770813873664,2026-02-11 12:44:33.664000+00:00
60238,1770815615237,1770815615237,2026-02-11 13:13:35.237000+00:00
60078,1770817446329,1770817446329,2026-02-11 13:44:06.329000+00:00
60233,1770819187870,1770819187870,2026-02-11 14:13:07.870000+00:00
60255,1770820929332,1770820929332,2026-02-11 14:42:09.332000+00:00
60188,1770822760116,1770822760116,2026-02-11 15:12:40.116000+00:00
60240,1770824501571,1770824501571,2026-02-11 15:41:41.571000+00:00
60161,1770826332043,1770826332043,2026-02-11 16:12:12.043000+00:00
60211,1770828073236,1770828073236,2026-02-11 16:41:13.236000+00:00
60250,1770829814565,1770829814565,2026-02-11 17:10:14.565000+00:00
60223,1770831645375,1770831645375,2026-02-11 17:40:45.375000+00:00
60190,1770833386763,1770833386763,2026-02-11 18:09:46.763000+00:00
60284,1770835542321,1770835542321,2026-02-11 18:45:42.321000+00:00
60233,1770837283638,1770837283638,2026-02-11 19:14:43.638000+00:00
60208,1770839025090,1770839025090,2026-02-11 19:43:45.090000+00:00
60254,1770840855611,1770840855611,2026-02-11 20:14:15.611000+00:00
60190,1770842597061,1770842597061,2026-02-11 20:43:17.061000+00:00
60238,1770844427546,1770844427546,2026-02-11 21:13:47.546000+00:00
60241,1770846168875,1770846168875,2026-02-11 21:42:48.875000+00:00
60182,1770847910218,1770847910218,2026-02-11 22:11:50.218000+00:00
60239,1770849741175,1770849741175,2026-02-11 22:42:21.175000+00:00
60123,1770851482550,1770851482550,2026-02-11 23:11:22.550000+00:00
60210,1770853313490,1770853313490,2026-02-11 23:41:53.490000+00:00
60173,1770855054896,1770855054896,2026-02-12 00:10:54.896000+00:00
60233,1770856796517,1770856796517,2026-02-12 00:39:56.517000+00:00
60130,1770858627148,1770858627148,2026-02-12 01:10:27.148000+00:00
60147,1770860368768,1770860368768,2026-02-12 01:39:28.768000+00:00
60222,1770862199533,1770862199533,2026-02-12 02:09:59.533000+00:00
60226,1770863940952,1770863940952,2026-02-12 02:39:00.952000+00:00
60233,1770865682436,1770865682436,2026-02-12 03:08:02.436000+00:00
60208,1770867513057,1770867513057,2026-02-12 03:38:33.057000+00:00
60251,1770869254643,1770869254643,2026-02-12 04:07:34.643000+00:00
60282,1770871414102,1770871414102,2026-02-12 04:43:34.102000+00:00
60194,1770873155380,1770873155380,2026-02-12 05:12:35.380000+00:00
60177,1770874897000,1770874897000,2026-02-12 05:41:37+00:00
60256,1770876727743,1770876727743,2026-02-12 06:12:07.743000+00:00
60239,1770878469377,1770878469377,2026-02-12 06:41:09.377000+00:00
60206,1770880300047,1770880300047,2026-02-12 07:11:40.047000+00:00
60185,1770882041385,1770882041385,2026-02-12 07:40:41.385000+00:00
60226,1770883782957,1770883782957,2026-02-12 08:09:42.957000+00:00
60256,1770885613575,1770885613575,2026-02-12 08:40:13.575000+00:00
60209,1770887355214,1770887355214,2026-02-12 09:09:15.214000+00:00
60267,1770889204010,1770889204010,2026-02-12 09:40:04.010000+00:00
60148,1770890945201,1770890945201,2026-02-12 10:09:05.201000+00:00
60187,1770892686629,1770892686629,2026-02-12 10:38:06.629000+00:00
60256,1770894517315,1770894517315,2026-02-12 11:08:37.315000+00:00
60245,1770896259077,1770896259077,2026-02-12 11:37:39.077000+00:00
